recno,Name,RAJ2000,DEJ2000,LengthMpc,e_LengthMpc,LengthAng,z,e_z,Ref,FistDisc
8089,ILTJ130556.00+331038.7,196.4855779,33.17062572496,1.28428,0.1572,2.7542,0.815,0.054,ML (this work),ML (this work)
3501,ILTJ130057.23+325613.8,195.2383899,32.94039697736,0.83115,0.12547,2.0776,0.561,0.057,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
8896,ILTJ125900.71+330554.8,194.7533536,33.09625539908,1.14612,0.15583,2.553,0.732,0.069,ML (this work),ML (this work)
4208,ILTJ130236.37+330802.1,195.65119935014,33.13368516911,1.10847,0.32412,2.9256,0.504,0.212,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
3858,ILTJ130243.80+332350.3,195.679511,33.40084490603,0.80212,0.08025,1.9451,0.59802,5e-05,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
7045,ILTJ125932.28+333655.3,194.8783707,33.61306636493,0.80627,0.14515,2.0067,0.566,0.095,ML (this work),ML (this work)
4453,ILTJ130824.31+330424.1,197.09863,33.06549679205,2.39158,0.59017,7.6318,0.364,0.084,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
1748,ILTJ130629.96+334540.5,196.6244235,33.76446544178,1.11085,0.20402,2.3881,0.809,0.254,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
9797,,197.789246,33.738309,1.55,0.049,4.7,0.39492,0.00013,Oei et al. 2023,Oei et al. 2023
915,ILTJ131114.99+334441.7,197.804342,33.75769570309,0.81577,0.09955,1.7679,0.79,0.049,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
