RA,DEC
353.09253,25.323245
355.998344,25.015158
342.677832,27.16323
357.118473,26.153448
358.693099,26.866648
359.709234,26.799681
343.99743,27.96178
341.08515,27.776037
358.282879,25.627704
19.611471,26.310526
346.120661,29.228458
356.813267,26.624626
19.57267,26.242228
343.944615,28.889427
342.689051,28.737541
343.417816,28.715784
342.963868,27.476676
358.813893,26.855725
341.683681,27.622754
353.313024,24.971019
343.002826,27.700569
341.824997,25.248542
342.471617,27.200424
17.863694,25.931803
352.527016,26.48709
342.55924,26.313553
19.617694,27.25804
343.311801,27.247668
355.766968,26.723592
344.07695,28.917181
342.507154,25.595296
355.830307,25.648595
356.910999,26.827425
342.451604,27.033617
359.689653,26.059521
358.044868,25.672954
341.69364,27.329185
345.459214,27.090448
0.255933,26.645054
19.010651,26.46735
352.821648,26.800393
345.977356,28.984249
354.144936,26.461344
341.462245,24.635083
357.557421,26.918755
355.203086,26.826638
353.17687,24.379948
357.481955,25.023145
353.224428,24.902065
359.663742,25.885422
352.500735,26.062002
345.435154,27.381703
359.357924,26.838793
343.783294,28.109047
359.529807,25.342472
345.901083,27.518831
358.249384,25.471307
345.959586,26.934672
20.039819,26.652055
352.491963,25.943735
19.56964,25.333162
20.075662,25.182021
354.830952,27.022959
342.157807,27.596826
355.255854,26.387336
358.831763,26.412755
19.01111,25.159629
359.689653,26.059521
18.635643,24.789512
18.445492,25.592905
342.224707,26.386721
357.254666,25.594682
342.353499,25.585684
342.819333,29.34994
340.658357,24.744124
357.940151,26.316195
18.422647,25.602404
342.233839,29.455854
357.326427,25.226115
355.473288,26.93441
19.501154,27.310898
19.193645,25.867336
358.173025,25.109722
341.483811,26.56136
18.175329,25.182891
343.978918,27.886063
18.352602,26.132771
17.681622,26.855591
341.442662,26.3187
351.946751,24.831743
353.181102,25.762286
20.030384,25.242547
346.231061,29.428077
358.560258,24.655041
340.520818,25.971935
341.217517,28.612709
359.294646,25.523228
343.937286,29.581075
19.103451,26.800044
344.633608,28.718847
341.045677,28.362933
353.806052,26.114797
19.639494,25.191713
18.071554,25.633426
343.494809,28.781337
345.736325,29.194094
343.272366,28.784475
357.040482,24.804858
356.072686,27.034045
356.206861,26.813887
355.566549,25.36799
356.971526,26.639968
357.502296,26.236186
358.230232,25.493102
18.381871,25.069428
341.483811,26.551072
353.632781,25.472281
355.534167,24.921151
19.081916,24.795338
356.591335,25.158029
356.841135,24.899732
341.092356,29.028996
341.031741,24.653061
343.068335,29.075251
342.656647,27.409346
18.897583,24.739358
19.434394,25.608396
357.727262,25.835323
340.992704,29.313247
19.155461,27.382084
18.061389,24.796035
18.72053,26.285742
358.860529,25.045168
355.721181,25.697267
342.466184,27.774975
354.606172,26.782285
344.749895,28.594855
356.908329,26.206255
342.484527,27.194942
352.773298,25.372784
18.07465,26.169587
352.02363,25.846384
342.294045,28.791976
345.200187,29.446529
19.432836,27.427258
358.743905,25.476958
343.877837,28.664488
18.453428,25.342703
18.646723,24.670343
345.267445,28.618266
19.18693,25.69532
345.042581,27.545625
18.14622,24.805524
342.904688,25.847702
19.999607,27.04693
351.844037,26.144089
341.279494,29.314324
354.075829,25.503362
346.00751,27.181505
356.662276,25.499364
353.093618,25.544121
341.069931,27.657679
341.195489,24.871577
20.170063,26.305472
359.787461,25.580738
18.858948,27.223512
355.355985,26.204821
18.944172,25.08646
342.60387,28.750955
358.041337,24.888451
358.607086,25.204338
341.377163,27.426764
340.910315,28.453051
343.456114,28.897284
358.617044,24.99977
20.027424,25.071552
357.783758,25.955877
341.200464,28.660641
352.511697,24.726019
353.509448,24.697311
354.122434,25.212952
353.294394,25.919137
345.543097,28.298802
18.924675,26.6878
341.450104,27.097974
357.739892,25.563842
359.025789,26.469917
342.587384,25.333447
358.302085,26.063234
356.845513,26.918765
355.289732,25.711897
353.793357,26.205708
18.856127,27.233483
343.925082,27.728451
19.501154,27.310898
341.266912,27.714866
18.44559,25.592905
344.808336,28.920041
357.564996,26.74898
341.206839,28.04241
19.40871,26.992354
343.659638,28.003378
352.266643,26.706149
357.782453,26.202373
356.845637,24.81015
18.461904,24.79969
342.280182,27.270166
344.212388,29.463002
352.661882,26.108766
341.058636,27.642221
352.273435,26.706149
342.631157,27.532419
359.81024,25.835915
358.477975,26.720508
355.898648,25.718825
346.010597,28.054088
357.585646,26.010773
344.800868,28.097092
340.361933,26.798917
351.831678,25.57783
359.285119,27.061033
358.15,25.050904
17.866521,26.475231
341.066675,25.000925
352.538997,25.04758
19.868556,26.490417
358.617636,25.00232
344.415279,27.521443
18.610291,26.194486
359.723432,25.858429
342.210088,25.920609
20.501189,25.746487
357.835,26.27346
17.866521,26.475231
355.138998,27.241385
342.804118,28.807232
352.476566,24.972661
346.417946,27.66771
357.776121,25.927348
359.317952,25.954209
345.042346,27.524195
355.597667,26.1899
354.064525,25.326978
18.352513,25.151384
357.904352,25.131083
342.733983,27.433213
352.505032,27.086556
19.611471,26.310526
359.285119,27.061033
340.906393,25.621174
340.715592,28.526833
358.546462,24.969507
341.212463,27.252055
359.382246,24.93522
352.102379,25.138293
354.764466,25.673531
342.593736,26.030702
345.238401,28.424385
340.920175,28.750351
17.842124,25.753949
341.212042,25.794652
340.99007,29.316144
343.070245,26.324136
342.720891,26.426049
357.360418,25.408355
356.855947,26.495579
341.064836,26.980175
341.121985,28.845915
18.69961,26.594707
357.09785,25.655694
342.587384,25.331754
355.644932,26.691517
341.69792,24.964004
354.881225,25.165384
355.018471,27.147609
358.470065,26.141389
353.020478,26.67258
358.254685,26.841635
353.471705,24.626906
342.081314,27.482034
355.963364,25.85908
352.830612,27.172448
356.283161,26.307646
358.91307,25.612802
344.810177,28.917567
358.729195,26.164249
355.490686,26.816182
357.898788,25.871885
354.064525,25.326978
346.160178,28.363479
20.007916,26.337549
357.120262,26.566358
353.615548,25.107527
359.357185,25.585485
353.924767,25.991673
0.038423,25.438793
357.564254,26.931221
20.359537,26.531901
356.304972,25.437084
354.696223,26.110775
353.028698,24.396605
355.398454,26.112711
356.872656,26.498985
353.471705,24.626906
20.197858,25.204888
352.390062,24.67162
352.604112,26.794085
354.064525,25.326978
346.30164,28.917278
18.07465,26.169587
356.575535,25.967697
19.931889,25.459572
351.901597,25.574552
352.769678,25.526506
341.450661,26.914374
19.40871,26.992354
357.036479,24.812381
18.941961,25.331562
357.370766,25.20947
19.850576,26.93691
340.677598,28.088502
354.662546,25.375862
345.028436,28.073858
354.776787,26.049322
358.184149,24.973582
352.850316,24.62178
340.705257,27.83421
18.974929,26.01912
20.339057,26.81717
20.08011,25.626008
354.521564,25.568013
351.943777,24.848973
341.823599,26.620134
353.336013,25.945177
341.129659,25.302691
18.393775,26.95503
359.216796,25.272657
340.59452,29.155581
343.974308,28.227002
354.937734,26.306137
358.316548,24.952736
358.182097,25.267127
358.710257,24.837845
340.910315,28.453051
346.449354,27.431898
341.365543,25.779919
353.363178,25.926604
357.979833,26.024731
355.237149,26.626766
18.838058,27.401507
19.472141,25.350158
341.377163,27.410302
359.878766,25.863021
343.596156,27.404289
340.7154,26.4922
18.090341,26.298454
346.153781,29.148528
20.461975,26.955544
342.859586,26.40886
351.839293,25.713652
343.072515,28.336045
359.733736,26.664399
346.292362,27.976276
341.669022,26.549386
354.03568,25.959557
341.667676,25.120928
342.587384,25.331754
341.116912,26.387094
346.312201,28.28986
340.950435,28.609795
357.039619,24.812381
359.892354,26.688108
20.075662,25.182021
19.398717,25.041184
353.958014,25.005841
340.350958,25.778306
346.161579,29.151162
341.733544,24.189505
342.737253,26.139391
359.554651,26.282391
346.019799,29.323072
357.256453,26.787786
352.233011,25.955059
356.275772,25.49944
340.294392,26.396491
19.653109,26.653211
340.578947,25.275773
358.584994,25.528038
342.933049,26.886571
359.136739,26.387991
358.804114,25.315839
346.185826,27.053477
346.128491,28.842209
358.022415,26.342251
344.176238,28.073826
341.51031,28.3787
346.031274,27.55352
353.471705,24.626906
342.812124,25.205328
355.139465,26.200553
358.859506,25.045168
355.403018,26.515543
356.509747,24.602388
20.191444,25.762569
343.331452,27.908131
345.605463,28.415564
343.647786,29.430445
351.83246,26.513469
344.911111,29.42885
352.053906,26.010167
341.282537,26.650923
352.703029,26.393565
357.050429,25.18706
19.524731,26.064697
341.365785,28.151623
342.447801,25.005025
340.991327,29.313762
18.067174,25.632562
18.668389,26.780112
353.438904,25.786499
353.28685,26.628438
357.78806,25.906696
358.022415,26.342251
342.193704,29.100476
18.148364,24.815391
344.65201,28.196363
355.485272,25.854279
342.425169,27.611597
0.099543,26.671801
355.152254,25.228743
18.897583,24.739358
342.074797,26.153782
20.214333,25.002227
343.058899,27.671032
341.986674,26.597137
18.927591,25.301844
353.294725,24.4009
19.215384,26.107859
346.436792,28.707431
359.565661,26.002931
20.39585,25.183337
342.587384,25.331754
354.462532,25.924975
18.93142,26.43847
341.296971,24.759597
0.113235,25.446319
342.293422,28.789475
357.411056,26.530457
355.232507,26.237124
354.986511,25.581151
355.967127,24.696193
344.885392,27.300883
356.417191,25.684172
356.930632,25.282109
19.198297,27.279096
358.401103,26.852729
344.529764,27.558233
340.520974,26.706508
359.088776,25.14124
19.653109,26.653211
341.21819,29.510899
353.673957,25.647666
340.423667,25.897314
345.553826,28.166896
359.369439,26.003473
342.400775,25.980702
356.853589,26.72168
352.604347,26.141898
355.739711,26.951097
355.32404,26.282327
344.32583,28.018374
356.853589,26.72168
341.168591,26.357416
355.71374,25.26521
341.824997,25.248542
344.667948,28.626963
342.36639,28.263451
343.083746,27.589458
341.214256,29.180953
342.166172,27.196775
342.235575,24.457649
359.404331,25.842346
18.324426,26.799342
355.624963,24.513171
16.949189,26.186678
15.446475,25.096918
16.903947,25.450914
15.861556,26.266474
11.880596,25.96761
7.49544,27.080564
6.510474,25.985678
10.509499,24.982696
12.732803,25.62113
7.089017,27.368831
345.512584,29.305315
6.467498,26.396966
10.609417,26.600551
13.518657,25.523035
11.667458,26.413688
14.314296,25.249275
14.619169,26.875436
15.132624,26.961301
15.493401,25.296823
344.044815,27.3565
11.303942,25.375582
11.735069,25.464325
342.676857,26.683525
13.991678,25.612623
344.589601,28.043352
6.11087,26.560607
344.49883,27.342673
10.029385,27.105428
9.038941,25.576745
15.123938,25.676198
11.142371,26.266627
7.112017,25.531095
14.768893,26.652994
9.687584,25.828461
10.272054,27.024629
6.233251,25.921028
16.789119,25.718742
9.373968,25.826957
8.765254,26.627464
10.509499,24.982696
10.225451,26.29105
12.993944,27.365845
15.998484,26.527595
7.372759,27.187131
17.202485,26.788931
17.012641,27.001826
355.369693,27.317523
16.164705,26.532813
13.457723,24.975295
12.098877,26.728024
357.290802,24.91808
8.349467,26.856228
10.397043,26.507736
13.245886,27.430258
15.638587,26.131908
17.59044,25.433078
10.081225,27.503488
341.118398,28.50321
17.564614,26.525487
9.940851,26.721167
13.806097,26.66041
342.664478,28.745705
17.445217,25.279856
11.118709,26.468356
10.016487,25.436743
6.53588,25.932976
7.633969,26.388812
16.05421,25.016566
13.343909,26.387199
13.858059,24.915259
18.561784,25.892139
6.796668,26.075746
12.834559,26.095802
9.968256,26.887518
12.580187,25.297554
17.59044,25.433078
13.200996,26.150001
6.933706,26.271307
7.241322,27.022659
8.06634,27.082934
341.11196,27.568802
13.188692,24.744015
9.752618,25.9882
12.357759,26.343169
14.045262,26.197333
344.715579,28.808654
6.919188,24.836947
11.404123,26.00244
15.996896,26.527595
8.933619,25.059553
13.919384,26.645021
10.671452,24.82185
31.766116,29.518857
355.990431,26.536212
31.297066,26.675899
12.506785,26.800699
29.604374,24.85931
23.85956,24.957971
29.63226,25.847327
357.625399,31.368944
