radio_name,host_name,RAJ2000,DEJ2000,z,e_z,LengthMpc,e_LengthMpc,FirstDisc,DateDisc,Ref
,,4.449167,-22.388889,0.10809,,1.133,0.1,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
ILTJ001759.63+241607.1,,4.499155,24.269274,0.325,0.039,1.04,0.089,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001800.37+300620.2,,4.501327,30.106452,1.067,0.01,0.757,0.051,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001758.60+300337.6,,4.508542,30.067847,0.844,0.117,1.322,0.076,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001806.41+193900.4,,4.524984,19.649007,1.062,0.1,1.052,0.054,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001808.58+310234.2,,4.536519,31.043415,0.904,0.137,1.743,0.094,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001815.07+214129.4,J001815.21+214133.4,4.563375,21.692617,0.30256,4e-05,0.999,0.028,Dabhade et al. 2020 / prior,2020-08-05,Mostert & Oei et al. 2024
ILTJ001817.59+232450.6,,4.569121,23.410635,0.844,0.074,1.114,0.056,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001831.84+322247.7,,4.633096,32.381843,0.35577,0.00011,0.741,0.031,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001835.05+320709.4,,4.645529,32.118762,1.056,0.932,0.556,0.262,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001841.26+292052.4,,4.670876,29.349236,0.694,0.03,0.989,0.048,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001842.71+170400.8,,4.673555,17.065763,0.804,0.069,0.745,0.051,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001846.93+351627.0,,4.692144,35.272344,0.73246,,0.775,0.054,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001857.63+321351.6,,4.736531,32.232086,0.953,0.144,0.701,0.057,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001858.50+315016.8,,4.742576,31.839079,0.828,0.205,0.784,0.089,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001900.38+170509.2,,4.748903,17.087009,0.554,0.063,0.725,0.058,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001901.63+281621.2,,4.756445,28.275425,1.069,0.383,0.716,0.112,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001904.15+183247.3,,4.765203,18.547456,0.467,0.058,1.05,0.082,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001904.67+282339.2,,4.770296,28.394433,1.312,0.548,0.687,0.119,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001915.46+315036.1,,4.817265,31.844061,0.835,0.089,0.904,0.056,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001921.02+202137.1,,4.836958,20.360717,1.35,0.329,0.738,0.06,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001933.34+262713.9,,4.88708,26.455579,0.836,0.087,1.105,0.06,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J001938.67+234407.2,4.911143,23.735353,0.504,0.0851,1.878,0.179,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ001944.93+241141.9,,4.920411,24.18557,0.699,0.077,1.116,0.066,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001951.73+194122.8,,4.96688,19.687701,0.801,0.054,0.898,0.051,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J001958.97+375944.0,4.995746,37.995581,0.3174,0.0174,1.375,0.059,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ002006.35+281951.5,,5.027345,28.333632,1.052,0.1,1.16,0.055,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ002007.18+274529.3,J002007.02+274525.2,5.029272,27.757019,0.57248,,2.296,0.118,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ002016.49+290751.2,,5.070097,29.132119,0.38,0.071,0.701,0.09,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,5.0739,-46.4173,0.65,,1.042,0.174,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
,J002033.23-201611.3,5.13875,-20.269556,0.197,,1.513,0.121,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
ILTJ002035.65+301911.1,J002034.72+301910.9,5.144686,30.319714,0.51436,0.00012,1.953,0.038,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ002037.66+270023.4,,5.157786,27.007458,0.766,0.085,0.928,0.059,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ002056.29+222536.9,,5.235013,22.430427,0.26553,3e-05,0.886,0.025,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ002057.08+181610.2,,5.239575,18.2697,0.51629,0.0001,0.894,0.038,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ002130.05+164019.7,,5.37665,16.670673,1.012,0.098,1.033,0.054,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J002207.14+190248.8,5.52979,19.046909,0.29513,4e-05,2.318,0.028,Oei et al. 2022,2022-10-24,Oei et al. 2022
